2013-01-07 20:40:32 status unpacked libc6 2.15-0ubuntu10
2013-01-07 20:40:32 status half-installed libc6 2.15-0ubuntu10
2013-01-07 20:40:32 status half-installed libc6 2.15-0ubuntu10
2013-01-07 20:40:32 status unpacked libc6 2.15-0ubuntu10
2013-01-07 20:40:32 status unpacked libc6 2.15-0ubuntu10
2013-01-07 20:40:32 install libelf1 <none> 0.152-1ubuntu3
2013-01-07 20:40:32 status half-installed libelf1 0.152-1ubuntu3
2013-01-07 20:40:32 status unpacked libelf1 0.152-1ubuntu3
2013-01-07 20:40:32 status unpacked libelf1 0.152-1ubuntu3
2013-01-07 20:40:32 install findutils <none> 4.4.2-4ubuntu1
2013-01-07 20:40:32 status half-installed findutils 4.4.2-4ubuntu1
2013-01-07 20:40:33 status unpacked findutils 4.4.2-4ubuntu1
2013-01-07 20:40:33 status unpacked findutils 4.4.2-4ubuntu1
2013-01-07 20:40:33 install gcc-4.6-base <none> 4.6.3-1ubuntu5
2013-01-07 20:40:33 status half-installed gcc-4.6-base 4.6.3-1ubuntu5
2013-01-07 20:40:33 status unpacked gcc-4.6-base 4.6.3-1ubuntu5
2013-01-07 20:40:33 status unpacked gcc-4.6-base 4.6.3-1ubuntu5
2013-01-07 20:40:33 install libgcc1 <none> 1:4.6.3-1ubuntu5
2013-01-07 20:40:33 status half-installed libgcc1 1:4.6.3-1ubuntu5
2013-01-07 20:40:33 status unpacked libgcc1 1:4.6.3-1ubuntu5
2013-01-07 20:40:33 status unpacked libgcc1 1:4.6.3-1ubuntu5
2013-01-07 20:40:33 install libglib2.0-0 <none> 2.32.1-0ubuntu2
2013-01-07 20:40:33 status half-installed libglib2.0-0 2.32.1-0ubuntu2
2013-01-07 20:40:33 status unpacked libglib2.0-0 2.32.1-0ubuntu2
2013-01-07 20:40:33 status unpacked libglib2.0-0 2.32.1-0ubuntu2
2013-01-07 20:40:33 install grep <none> 2.10-1
2013-01-07 20:40:33 status half-installed grep 2.10-1
2013-01-07 20:40:33 status unpacked grep 2.10-1
2013-01-07 20:40:33 status unpacked grep 2.10-1
2013-01-07 20:40:33 install gzip <none> 1.4-1ubuntu2
2013-01-07 20:40:33 status half-installed gzip 1.4-1ubuntu2
2013-01-07 20:40:33 status unpacked gzip 1.4-1ubuntu2
2013-01-07 20:40:33 status unpacked gzip 1.4-1ubuntu2
2013-01-07 20:40:33 install hostname <none> 3.06ubuntu1
2013-01-07 20:40:33 status half-installed hostname 3.06ubuntu1
2013-01-07 20:40:33 status unpacked hostname 3.06ubuntu1
2013-01-07 20:40:33 status unpacked hostname 3.06ubuntu1
2013-01-07 20:40:33 install ifupdown <none> 0.7~beta2ubuntu8
2013-01-07 20:40:33 status half-installed ifupdown 0.7~beta2ubuntu8
2013-01-07 20:40:33 status unpacked ifupdown 0.7~beta2ubuntu8
2013-01-07 20:40:33 status unpacked ifupdown 0.7~beta2ubuntu8
2013-01-07 20:40:33 install initramfs-tools-bin <none> 0.99ubuntu13
2013-01-07 20:40:33 status half-installed initramfs-tools-bin 0.99ubuntu13
2013-01-07 20:40:33 status unpacked initramfs-tools-bin 0.99ubuntu13
2013-01-07 20:40:33 status unpacked initramfs-tools-bin 0.99ubuntu13
2013-01-07 20:40:33 install initramfs-tools <none> 0.99ubuntu13
2013-01-07 20:40:33 status half-installed initramfs-tools 0.99ubuntu13
2013-01-07 20:40:33 status unpacked initramfs-tools 0.99ubuntu13
2013-01-07 20:40:34 status unpacked initramfs-tools 0.99ubuntu13
2013-01-07 20:40:34 install insserv <none> 1.14.0-2.1ubuntu2
2013-01-07 20:40:34 status half-installed insserv 1.14.0-2.1ubuntu2
2013-01-07 20:40:34 status unpacked insserv 1.14.0-2.1ubuntu2
2013-01-07 20:40:34 status unpacked insserv 1.14.0-2.1ubuntu2
2013-01-07 20:40:34 install iproute <none> 20111117-1ubuntu2
2013-01-07 20:40:34 status half-installed iproute 20111117-1ubuntu2
2013-01-07 20:40:34 status unpacked iproute 20111117-1ubuntu2
2013-01-07 20:40:34 status unpacked iproute 20111117-1ubuntu2
2013-01-07 20:40:34 install klibc-utils <none> 1.5.25-1ubuntu2
2013-01-07 20:40:34 status half-installed klibc-utils 1.5.25-1ubuntu2
2013-01-07 20:40:34 status unpacked klibc-utils 1.5.25-1ubuntu2
2013-01-07 20:40:34 status unpacked klibc-utils 1.5.25-1ubuntu2
2013-01-07 20:40:34 install libklibc <none> 1.5.25-1ubuntu2
2013-01-07 20:40:34 status half-installed libklibc 1.5.25-1ubuntu2
2013-01-07 20:40:34 status unpacked libklibc 1.5.25-1ubuntu2
2013-01-07 20:40:34 status unpacked libklibc 1.5.25-1ubuntu2
2013-01-07 20:40:34 install libdrm-intel1 <none> 2.4.32-1ubuntu1
2013-01-07 20:40:34 status half-installed libdrm-intel1 2.4.32-1ubuntu1
2013-01-07 20:40:34 status unpacked libdrm-intel1 2.4.32-1ubuntu1
2013-01-07 20:40:34 status unpacked libdrm-intel1 2.4.32-1ubuntu1
2013-01-07 20:40:34 install libdrm-nouveau1a <none> 2.4.32-1ubuntu1
2013-01-07 20:40:34 status half-installed libdrm-nouveau1a 2.4.32-1ubuntu1
2013-01-07 20:40:34 status unpacked libdrm-nouveau1a 2.4.32-1ubuntu1
2013-01-07 20:40:34 status unpacked libdrm-nouveau1a 2.4.32-1ubuntu1
2013-01-07 20:40:34 install libdrm-radeon1 <none> 2.4.32-1ubuntu1
2013-01-07 20:40:34 status half-installed libdrm-radeon1 2.4.32-1ubuntu1
2013-01-07 20:40:34 status unpacked libdrm-radeon1 2.4.32-1ubuntu1
2013-01-07 20:40:34 status unpacked libdrm-radeon1 2.4.32-1ubuntu1
2013-01-07 20:40:34 install libdrm2 <none> 2.4.32-1ubuntu1
2013-01-07 20:40:34 status half-installed libdrm2 2.4.32-1ubuntu1
2013-01-07 20:40:35 status unpacked libdrm2 2.4.32-1ubuntu1
2013-01-07 20:40:35 status unpacked libdrm2 2.4.32-1ubuntu1
2013-01-07 20:40:35 install libffi6 <none> 3.0.11~rc1-5
2013-01-07 20:40:35 status half-installed libffi6 3.0.11~rc1-5
2013-01-07 20:40:35 status unpacked libffi6 3.0.11~rc1-5
2013-01-07 20:40:35 status unpacked libffi6 3.0.11~rc1-5
2013-01-07 20:40:35 install libnih-dbus1 <none> 1.0.3-4ubuntu9
2013-01-07 20:40:35 status half-installed libnih-dbus1 1.0.3-4ubuntu9
2013-01-07 20:40:35 status unpacked libnih-dbus1 1.0.3-4ubuntu9
2013-01-07 20:40:35 status unpacked libnih-dbus1 1.0.3-4ubuntu9
2013-01-07 20:40:35 install libnih1 <none> 1.0.3-4ubuntu9
2013-01-07 20:40:35 status half-installed libnih1 1.0.3-4ubuntu9
2013-01-07 20:40:35 status unpacked libnih1 1.0.3-4ubuntu9
